Geneid,PC3_Normoxia_S2,PC3_Normoxia_S1,LNCAP_Hypoxia_S1,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2
ENSG00000164251,1262,453,1185,1284,1574,1337,1065,344
ENSG00000164252,68,22,1470,1712,1958,1544,55,13
ENSG00000164253,672,231,1994,1894,2244,2388,691,262
ENSG00000164256,12,4,1,2,0,0,9,1
ENSG00000164258,239,96,1516,1550,2201,1640,227,91
ENSG00000164265,3,1,0,0,0,6,3,1
ENSG00000164266,2,0,13,18,7,11,4,2
ENSG00000164270,7,4,1,1,3,4,4,1
ENSG00000164283,54,11,0,1,0,0,138,42
ENSG00000164284,1978,682,3102,2959,3096,3487,1918,656
ENSG00000164287,2,2,1,3,4,0,2,0
ENSG00000164291,686,200,544,426,462,673,756,252
ENSG00000164292,1394,523,1243,641,635,1484,1546,502
ENSG00000164294,1607,585,721,1120,1317,780,1300,479
ENSG00000164296,93,42,771,1086,1443,1000,47,24
ENSG00000164299,0,0,0,0,0,1,0,0
ENSG00000164300,766,275,6043,7956,9431,6844,647,235
ENSG00000164303,0,1,1,0,0,0,1,0
ENSG00000164304,13,2,5,5,5,5,4,2
ENSG00000164305,201,71,1695,1852,1976,1845,162,70
ENSG00000164306,82,38,567,932,882,597,116,20
ENSG00000164307,1878,660,514,803,933,633,1885,665
ENSG00000164308,793,234,73,162,189,95,493,171
ENSG00000164309,10,3,71,77,76,88,5,1
ENSG00000164318,34,14,1,2,4,3,30,14
ENSG00000164323,1273,472,8375,7723,7175,10262,936,330
ENSG00000164325,0,0,0,0,0,0,0,0
ENSG00000164326,0,0,31,63,72,18,0,0
ENSG00000164327,3063,1063,1327,1040,1106,1570,4697,1366
ENSG00000164329,615,213,1848,1648,1624,2082,546,204
ENSG00000164330,33,12,0,0,1,1,29,18
ENSG00000164331,220,85,1355,1035,1158,1331,185,66
ENSG00000164332,681,242,2321,2569,2951,2650,584,241
ENSG00000164334,1,0,0,1,0,0,0,0
ENSG00000164338,997,373,1712,1927,2034,2072,602,191
ENSG00000164342,111,35,197,268,347,284,46,23
ENSG00000164344,0,0,3,2,3,2,0,0
ENSG00000164346,392,131,6646,9765,11113,7359,307,120
ENSG00000164347,2061,746,3128,5457,4846,3663,1854,608
ENSG00000164362,3,3,39,75,90,48,3,3
ENSG00000164363,0,0,1,1,0,0,0,0
ENSG00000164366,781,237,996,1122,1452,1207,672,254
ENSG00000164379,116,33,3,2,5,1,54,17
ENSG00000164385,11,5,6,3,6,5,7,0
ENSG00000164393,0,0,0,0,0,0,0,0
ENSG00000164398,2,1,17,23,26,18,1,0
ENSG00000164399,0,0,0,0,0,0,0,0
ENSG00000164400,190,60,0,0,0,0,131,51
ENSG00000164402,626,234,2311,2689,3162,2511,482,163
ENSG00000164403,205,84,511,572,1013,674,75,28
ENSG00000164404,29,16,203,374,415,201,19,14
ENSG00000164405,1152,477,2998,3232,5454,3522,1085,358
ENSG00000164406,36,15,76,38,66,88,19,11
ENSG00000164411,2,0,0,0,1,2,2,1
ENSG00000164414,198,78,110,141,152,108,240,74
ENSG00000164418,58,13,69,93,100,94,55,14
ENSG00000164430,641,251,2,2,8,5,629,197
ENSG00000164434,1,0,3,0,1,2,0,1
ENSG00000164438,0,0,0,0,0,0,0,0
ENSG00000164440,63,27,9,11,15,12,37,11
ENSG00000164442,452,181,19680,5562,8168,20903,1187,392
ENSG00000164451,1,1,0,0,0,0,1,0
ENSG00000164458,16,6,1,2,1,0,12,3
ENSG00000164463,326,112,765,551,594,885,375,129
ENSG00000164465,854,317,761,758,825,849,790,251
ENSG00000164466,1199,453,4590,4699,5185,5245,1402,475
ENSG00000164483,2,1,0,0,1,0,4,0
ENSG00000164484,67,25,0,0,0,0,56,22
ENSG00000164485,0,0,0,0,0,0,0,0
ENSG00000164488,18,8,0,0,0,0,28,8
ENSG00000164494,503,172,544,643,810,599,422,158
ENSG00000164500,0,0,0,0,0,0,0,0
ENSG00000164506,532,193,1213,1108,1186,1401,618,163
ENSG00000164508,0,0,0,0,0,0,0,0
ENSG00000164509,326,96,3,4,4,6,296,87
ENSG00000164512,2,1,0,0,1,0,1,1
ENSG00000164520,23,13,23,31,38,33,12,6
ENSG00000164530,0,2,2,0,0,1,2,2
ENSG00000164532,39,17,2,5,6,2,61,11
ENSG00000164535,357,124,461,420,558,500,294,125
ENSG00000164542,283,109,552,594,666,587,248,73
ENSG00000164543,1682,669,831,740,969,894,2370,697
ENSG00000164548,441,130,5272,7189,8622,5840,471,168
ENSG00000164556,0,0,1,3,3,3,0,0
ENSG00000164574,3532,1312,3099,2277,2949,3434,3041,959
ENSG00000164576,490,167,906,946,1125,1037,573,180
ENSG00000164587,4703,1849,8834,11708,20287,10240,4067,1456
ENSG00000164588,0,0,0,0,0,0,0,0
ENSG00000164591,12,4,12,1,6,7,4,0
ENSG00000164597,1815,629,3108,2207,2170,3728,2025,609
ENSG00000164600,0,0,0,0,0,0,0,0
ENSG00000164603,434,165,657,330,331,832,749,234
ENSG00000164604,123,35,2,5,5,2,45,9
ENSG00000164609,1081,387,3062,3065,3579,3329,1295,377
ENSG00000164610,112,28,179,160,213,188,83,30
ENSG00000164611,666,217,3968,4583,4866,3853,571,178
ENSG00000164615,328,104,1389,1355,1684,1679,339,102
ENSG00000164616,0,0,0,0,0,0,0,0
ENSG00000164619,0,0,0,0,2,3,1,0
ENSG00000164620,21,7,180,80,124,244,16,4
ENSG00000164621,0,2,0,0,1,0,0,0
ENSG00000164626,96,44,94,59,127,124,133,36
ENSG00000164627,76,24,90,119,161,73,32,14
ENSG00000164631,567,216,1746,1430,1377,1936,712,276
ENSG00000164638,113,49,390,174,277,413,80,32
ENSG00000164645,0,0,0,0,0,0,0,0
ENSG00000164647,365,140,12287,11808,14243,14007,167,59
ENSG00000164649,883,319,1620,1412,1627,1825,704,206
ENSG00000164651,197,71,95,81,69,125,223,58
ENSG00000164654,941,335,1443,2493,2837,1617,736,234
ENSG00000164659,635,260,2116,1542,1668,2355,711,271
ENSG00000164663,166,54,427,393,440,437,146,48
ENSG00000164669,0,0,2,2,0,0,0,0
ENSG00000164674,89,36,47,60,67,38,156,46
ENSG00000164675,13,4,102,101,80,136,16,9
ENSG00000164683,115,29,678,72,92,731,170,31
ENSG00000164684,1302,477,1216,856,975,1408,809,250
ENSG00000164687,485,150,1,4,0,0,377,158
ENSG00000164690,143,60,2,4,4,2,426,90
ENSG00000164691,1,0,0,0,1,0,1,0
ENSG00000164692,0,0,0,0,0,0,1,0
ENSG00000164694,0,0,4,1,1,4,0,0
ENSG00000164695,382,168,616,840,999,690,373,153
ENSG00000164707,17,9,23,43,48,27,10,2
ENSG00000164708,0,0,0,0,0,0,0,0
ENSG00000164713,305,128,639,874,1039,767,294,92
ENSG00000164715,535,212,2979,2526,2844,3238,624,182
ENSG00000164729,0,0,0,0,0,0,1,0
ENSG00000164733,3513,1282,4382,4087,5523,4944,3410,1235
ENSG00000164736,1,0,0,0,0,0,0,0
ENSG00000164740,0,0,0,0,0,0,0,0
ENSG00000164741,463,161,29,4,8,24,388,130
ENSG00000164742,307,152,549,855,1126,616,265,77
ENSG00000164743,0,0,243,200,205,282,0,0
ENSG00000164744,2,2,2,1,1,0,2,0
ENSG00000164746,8,0,2,0,0,0,2,3
ENSG00000164749,338,146,46,113,176,54,196,65
ENSG00000164751,1326,460,2695,2220,2519,3109,1262,409
ENSG00000164754,11939,4424,9303,8185,7822,10944,14400,4787
ENSG00000164756,0,0,0,0,0,1,1,0
ENSG00000164758,495,167,164,198,257,151,360,130
ENSG00000164761,41,16,3,14,25,4,10,5
ENSG00000164764,38,15,29,29,38,29,26,9
ENSG00000164776,31,6,18,7,17,19,7,4
ENSG00000164778,207,96,167,178,259,182,162,49
ENSG00000164794,11,5,0,0,0,1,4,4
ENSG00000164796,98,33,2,0,1,0,146,53
ENSG00000164808,140,58,2490,2058,2269,2820,109,36
ENSG00000164815,1364,484,3524,3526,3648,4622,1055,361
ENSG00000164816,0,0,0,0,0,0,0,0
ENSG00000164818,266,119,1085,1232,1578,1295,386,171
ENSG00000164821,0,0,0,0,0,0,0,0
ENSG00000164822,0,0,0,0,0,0,0,0
ENSG00000164823,1645,594,1434,1381,1497,1520,1125,354
ENSG00000164825,0,2,2,0,0,0,0,0
ENSG00000164828,1072,348,4578,4257,4806,5067,1518,485
ENSG00000164830,2654,877,1945,1955,2073,2137,2710,955
ENSG00000164841,406,147,8,12,16,12,306,94
ENSG00000164845,0,0,0,0,0,0,0,0
ENSG00000164849,12,4,73,22,13,62,30,12
ENSG00000164850,47,25,1568,118,182,1831,101,38
ENSG00000164853,1,3,0,0,0,1,1,0
ENSG00000164855,353,140,3444,2507,3354,3887,405,170
ENSG00000164867,0,0,636,430,469,623,1,1
ENSG00000164871,0,1,0,0,0,0,0,0
ENSG00000164877,142,65,976,515,773,1101,134,38
ENSG00000164879,1,0,2,4,7,4,1,2
ENSG00000164880,878,371,3495,2542,3655,3845,1471,604
ENSG00000164885,665,262,963,897,1503,1123,464,161
ENSG00000164889,1279,483,2108,1146,1730,2415,1124,392
ENSG00000164893,0,0,11,16,17,6,0,0
ENSG00000164896,685,296,1489,1388,2573,1704,536,214
ENSG00000164897,439,173,1190,785,1349,1162,362,143
ENSG00000164898,12,12,27,66,87,43,16,2
ENSG00000164900,28,9,1,3,7,8,16,1
ENSG00000164902,194,76,3660,4344,4900,4546,155,41
ENSG00000164904,1342,530,1,1,1,0,1213,396
ENSG00000164916,563,227,1443,1339,1622,1608,479,187
ENSG00000164919,2308,1013,3949,4057,6892,4504,2716,882
ENSG00000164920,31,13,290,270,334,376,19,3
ENSG00000164924,11112,4311,22933,22012,25223,27105,14339,4974
ENSG00000164929,14,2,0,0,1,0,10,4
ENSG00000164930,3881,1489,2340,2631,3340,2472,3535,1426
ENSG00000164932,2523,1029,2,1,4,1,3181,1123
ENSG00000164933,2,2,0,3,4,0,3,1
ENSG00000164934,4184,1555,1847,3062,3463,2236,3397,1063
ENSG00000164935,0,0,0,0,0,0,0,0
ENSG00000164938,316,90,13155,9146,9583,14452,717,234
ENSG00000164941,2416,838,3282,4281,4713,3721,2439,842
ENSG00000164944,2450,859,3272,3000,3250,3695,2260,730
ENSG00000164946,2,0,4,6,5,7,3,0
ENSG00000164949,1057,356,23,11,14,52,1635,401
ENSG00000164951,3162,1081,772,715,846,870,2616,833
ENSG00000164953,630,257,682,612,564,712,707,260
ENSG00000164961,814,272,1700,2125,2291,1929,678,224
ENSG00000164967,214,115,316,520,871,434,148,47
ENSG00000164970,250,92,1085,511,862,1192,520,176
ENSG00000164972,2,0,2,0,0,3,1,2
ENSG00000164975,378,148,3396,2156,2355,3638,494,142
ENSG00000164976,425,181,522,500,723,565,356,165
ENSG00000164978,408,157,775,1043,1669,809,283,74
ENSG00000164983,622,211,1633,1226,1185,1752,924,275
ENSG00000164985,8166,2675,14207,16367,17731,15343,8920,2737
ENSG00000164989,107,55,266,393,474,318,75,20
ENSG00000165006,1246,506,4089,3856,4953,4608,1420,439
ENSG00000165023,0,1,2,2,4,6,16,1
ENSG00000165025,122,46,2,2,4,4,85,32
ENSG00000165028,64,27,54,38,64,42,57,21
ENSG00000165029,998,340,17,54,45,17,1534,516
ENSG00000165030,158,57,907,775,970,1113,549,154
ENSG00000165046,86,32,102,125,140,108,45,13
ENSG00000165055,580,229,1248,1611,1870,1418,427,132
ENSG00000165059,0,0,0,0,0,0,0,0
ENSG00000165060,399,147,264,429,623,284,251,94
ENSG00000165061,73,28,1,0,2,0,189,49
ENSG00000165066,0,0,0,0,0,0,0,0
ENSG00000165071,224,78,3,2,10,3,257,105
ENSG00000165072,1,0,6,10,10,8,1,2
ENSG00000165076,0,0,0,1,2,0,0,0
ENSG00000165078,9,0,0,0,1,0,14,4
ENSG00000165084,3,1,11,18,20,12,2,3
ENSG00000165091,1,3,90,46,51,99,3,2
ENSG00000165092,43,23,3,1,2,0,18,2
ENSG00000165097,529,183,2092,3216,3898,2309,392,165
ENSG00000165102,894,316,3078,2587,3475,3435,850,334
ENSG00000165105,188,56,7659,9795,10413,9200,206,65
ENSG00000165113,353,129,485,759,764,475,314,101
ENSG00000165115,219,75,521,466,452,576,142,52
ENSG00000165118,160,55,224,256,403,306,155,37
ENSG00000165119,2708,977,23182,26952,29014,27556,3227,1045
ENSG00000165120,0,0,1,0,3,1,0,0
ENSG00000165121,0,0,0,0,0,0,0,0
ENSG00000165124,10,5,46,72,49,62,5,0
ENSG00000165125,1,1,1721,1182,1405,1751,7,2
ENSG00000165131,0,0,4,0,1,2,0,0
ENSG00000165138,1093,408,706,784,975,835,848,293
ENSG00000165140,67,14,0,5,15,0,52,17
ENSG00000165152,1,0,0,0,1,1,1,3
ENSG00000165156,696,220,4753,3929,4681,5786,756,211
ENSG00000165164,7,7,10,55,55,5,3,1
ENSG00000165168,11,7,2,1,3,2,12,2
ENSG00000165169,542,184,3885,3024,3158,4506,904,305
ENSG00000165171,72,25,209,296,422,246,14,7
ENSG00000165175,571,201,4764,10163,12827,5710,272,115
ENSG00000165178,0,0,0,0,0,0,0,0
ENSG00000165181,134,41,4,3,7,9,148,33
ENSG00000165182,8,1,5,8,5,3,4,3
ENSG00000165185,333,105,866,603,660,955,345,128
ENSG00000165186,15,3,5,0,1,7,46,11
ENSG00000165188,1,6,14,3,4,14,1,1
ENSG00000165192,0,0,15,7,7,12,1,0
ENSG00000165194,6,6,7,3,1,17,14,4
ENSG00000165195,1655,617,1727,1022,965,1959,2753,954
ENSG00000165197,24,9,10,18,19,18,21,3
ENSG00000165202,0,0,0,2,0,0,0,0
ENSG00000165204,0,0,0,0,0,0,0,0
ENSG00000165209,330,112,4217,5044,5836,4611,279,70
ENSG00000165215,351,114,3314,2535,3313,3795,372,111
ENSG00000165219,2457,889,2551,2158,2275,3081,2983,900
ENSG00000165233,342,137,280,181,365,327,228,85
ENSG00000165238,116,38,1512,878,1447,1555,40,11
ENSG00000165240,146,57,1526,1392,1474,1651,131,52
ENSG00000165244,1173,413,3059,3733,4047,3020,1341,426
ENSG00000165246,0,0,733,508,531,815,0,1
ENSG00000165259,163,65,127,152,230,137,188,75
ENSG00000165264,60,31,765,1105,1458,889,40,14
ENSG00000165269,0,0,11,18,19,22,0,0
ENSG00000165271,992,401,1830,2458,3057,2356,468,168
ENSG00000165272,78,23,84,144,179,108,59,30
ENSG00000165275,110,44,322,340,357,331,95,40
ENSG00000165280,6399,2569,8471,10381,13186,10960,7214,2371
ENSG00000165282,594,256,1572,1685,2105,1771,410,183
ENSG00000165283,1117,486,1874,2428,3694,2272,822,305
ENSG00000165288,492,167,1524,1004,910,1657,744,226
ENSG00000165300,117,43,14,11,6,11,98,38
ENSG00000165304,1730,664,2502,2867,2724,3012,2197,637
ENSG00000165309,22,5,2,1,7,4,18,2
ENSG00000165312,57,20,235,186,232,206,72,25
ENSG00000165322,714,272,1442,1318,1327,1585,659,230
ENSG00000165323,2,0,3,1,2,0,5,0
ENSG00000165325,8,4,48,130,115,72,1,5
ENSG00000165338,224,98,409,447,466,434,203,64
ENSG00000165349,0,0,0,0,0,0,0,0
ENSG00000165355,406,123,777,725,890,903,581,202
ENSG00000165359,116,35,982,700,733,1082,170,52
ENSG00000165370,5,0,1,1,0,2,4,2
ENSG00000165376,4,2,2,5,0,0,0,0
ENSG00000165379,5,0,0,0,0,0,1,1
ENSG00000165383,1,0,0,0,0,0,0,0
ENSG00000165389,423,149,3316,3157,3272,3529,371,130
ENSG00000165392,746,279,1087,1339,1317,1309,565,188
ENSG00000165406,947,340,899,986,1135,1074,869,277
ENSG00000165409,1,1,0,1,1,0,0,0
ENSG00000165410,3010,1102,942,1059,1160,1287,2600,942
ENSG00000165416,1218,466,1543,1926,2036,1726,1239,373
ENSG00000165417,1009,371,9974,10718,11151,11236,1016,334
ENSG00000165424,3469,1245,954,979,1110,965,4787,1463
ENSG00000165434,540,209,251,179,230,277,913,207
ENSG00000165443,7,1,4,0,1,1,5,1
ENSG00000165449,547,217,229,500,471,254,397,155
ENSG00000165457,0,0,1,0,4,0,0,0
ENSG00000165458,820,314,4267,2369,3052,4719,593,187
ENSG00000165462,0,1,1,0,0,0,3,0
ENSG00000165471,4,0,0,0,0,0,2,0
ENSG00000165474,165,51,16,28,28,19,180,66
ENSG00000165475,215,91,813,992,1327,883,146,67
ENSG00000165476,3056,1005,5035,6668,6839,5747,2985,886
ENSG00000165478,0,0,52,8,21,57,0,0
ENSG00000165480,2741,920,1321,2285,2133,1638,2399,823
ENSG00000165487,1067,434,2485,2865,3135,2791,1297,443
ENSG00000165490,1768,620,1497,1126,1110,1661,1407,485
ENSG00000165494,970,343,5127,5013,5755,5673,943,280
ENSG00000165495,16,7,159,352,587,162,16,5
ENSG00000165496,0,0,134,140,189,173,0,0
ENSG00000165501,621,262,350,443,469,376,608,213
ENSG00000165502,3223,1144,12433,15051,18992,14667,3456,1019
ENSG00000165506,587,227,906,1035,1161,1062,531,139
ENSG00000165507,332,122,54,39,45,65,5770,2102
ENSG00000165509,0,0,0,0,2,3,1,0
ENSG00000165511,80,27,9,10,31,16,111,42
ENSG00000165512,711,304,3,1,2,1,860,305
ENSG00000165516,893,336,1262,1160,1302,1335,874,293
ENSG00000165521,56,24,57,268,287,70,50,15
ENSG00000165525,1346,437,3707,4319,4406,4249,1306,376
ENSG00000165526,451,157,745,945,1315,788,329,121
ENSG00000165527,4180,1499,8924,9517,10933,9982,4652,1480
ENSG00000165533,539,169,2092,2640,3182,2409,461,135
ENSG00000165548,66,16,1229,875,1257,1314,51,23
ENSG00000165553,0,0,0,0,2,0,0,0
ENSG00000165555,16,5,28,39,39,30,7,4
ENSG00000165556,7,1,5,0,1,5,2,0
ENSG00000165566,0,0,0,0,0,1,0,0
ENSG00000165568,0,0,0,0,0,0,0,0
ENSG00000165572,172,68,1482,1977,2095,1798,106,26
ENSG00000165583,0,0,0,0,0,0,0,0
ENSG00000165584,0,0,0,0,0,0,0,0
ENSG00000165588,0,0,0,0,0,0,0,0
ENSG00000165591,20,9,254,289,448,329,20,7
ENSG00000165606,17,0,0,2,1,0,54,11
ENSG00000165609,1389,566,2336,2445,3072,2955,1422,443
ENSG00000165617,46,21,0,1,0,0,32,11
ENSG00000165621,2,1,2,0,0,0,1,0
ENSG00000165623,3,1,2,0,0,0,1,2
ENSG00000165626,248,100,213,181,254,274,213,62
ENSG00000165629,4049,1453,10076,12475,13643,11685,4291,1399
ENSG00000165630,703,247,1899,1755,1913,2179,678,205
ENSG00000165632,240,67,611,581,656,685,159,55
ENSG00000165633,225,80,1,0,0,0,219,82
ENSG00000165637,868,385,1498,1620,2217,1677,1332,462
ENSG00000165643,2,0,1,0,0,4,0,0
ENSG00000165644,151,56,178,189,416,160,96,54
ENSG00000165646,8,5,18,9,7,13,16,5
ENSG00000165650,2908,1024,2664,2925,2923,3296,2940,885
ENSG00000165655,418,157,146,112,211,200,290,100
ENSG00000165660,858,264,1185,1184,1240,1338,781,257
ENSG00000165661,377,167,1798,1530,2260,1897,304,77
ENSG00000165669,653,237,1332,1092,1175,1593,757,223
ENSG00000165671,2745,996,6523,7469,8101,7767,2254,725
ENSG00000165672,689,252,6246,8691,9814,7598,592,218
ENSG00000165675,220,82,526,701,751,598,195,69
ENSG00000165678,3312,1348,14372,15737,17933,16682,4300,1336
ENSG00000165682,0,0,0,0,0,0,0,0
ENSG00000165684,218,73,971,852,1258,1163,141,48
ENSG00000165685,0,0,0,0,2,3,0,0
ENSG00000165688,400,192,2124,2537,3236,2389,366,107
ENSG00000165689,211,68,2249,2674,3501,2556,124,47
ENSG00000165694,2,2,0,0,0,0,1,0
ENSG00000165695,21,4,102,86,146,75,9,6
ENSG00000165698,20,10,128,247,294,131,20,11
ENSG00000165699,2031,700,2324,2569,3140,2615,2136,736
ENSG00000165702,7,3,4,4,3,6,4,3
ENSG00000165704,1458,484,2857,2804,3287,3064,1935,626
ENSG00000165714,86,39,327,382,485,377,61,27
ENSG00000165716,108,38,256,209,321,226,56,38
ENSG00000165724,441,173,1152,1103,1467,1352,312,81
ENSG00000165730,194,65,26,105,153,51,95,46
ENSG00000165731,8,7,37,16,53,29,7,3
ENSG00000165732,3143,1106,19769,24501,25911,23233,2330,607
ENSG00000165733,553,176,6596,6381,7241,7649,462,141
ENSG00000165752,214,68,878,1001,1315,1064,206,69
ENSG00000165757,611,207,160,218,263,169,476,149
ENSG00000165762,0,0,0,0,1,0,0,0
ENSG00000165775,910,396,1960,2087,2752,2489,1204,355
ENSG00000165782,320,107,908,721,1042,1002,211,66
ENSG00000165792,411,170,1205,1185,1436,1459,439,140
ENSG00000165794,3,0,11,5,8,15,2,0
ENSG00000165795,432,177,2734,2476,3275,2925,352,119
ENSG00000165799,0,0,4,4,10,5,0,0
ENSG00000165801,654,255,462,369,501,419,337,136
ENSG00000165802,525,169,3409,3242,4324,3848,277,99
ENSG00000165804,195,94,683,403,568,779,141,45
ENSG00000165805,0,1,0,7,1,0,0,0
ENSG00000165806,644,239,1575,1821,2175,1896,511,196
ENSG00000165807,9,2,6,17,9,4,15,3
ENSG00000165810,143,61,562,902,1011,577,180,71
ENSG00000165813,426,144,5532,6769,6512,6104,519,140
ENSG00000165816,10,7,77,110,123,77,8,1
ENSG00000165819,623,239,1465,1756,1975,1612,469,160
ENSG00000165821,243,80,689,572,803,818,169,63
ENSG00000165828,0,0,1,0,0,1,0,1
ENSG00000165832,664,220,4445,5176,5273,5330,540,177
ENSG00000165837,1,0,13,6,3,4,0,0
ENSG00000165841,1,0,68,87,80,82,0,0
ENSG00000165861,1831,698,579,445,610,640,2438,843
ENSG00000165863,1,0,0,1,1,2,0,0
ENSG00000165868,592,201,1401,1566,1875,1616,487,166
ENSG00000165874,2,0,0,1,2,0,0,0
ENSG00000165879,24,6,254,205,220,316,13,7
ENSG00000165886,392,162,340,146,217,356,281,116
ENSG00000165887,1,1,7,25,31,8,1,0
ENSG00000165891,436,139,713,617,675,839,489,135
ENSG00000165895,340,129,94,98,100,154,464,120
ENSG00000165898,273,96,569,768,982,662,248,94
ENSG00000165899,25,9,24,20,10,26,13,3
ENSG00000165905,192,54,261,301,526,253,106,33
ENSG00000165912,169,74,1219,1020,1520,1408,105,35
ENSG00000165914,2630,906,1778,1838,2130,1811,2813,1055
ENSG00000165915,179,70,251,227,414,246,139,56
ENSG00000165916,225,96,2038,2769,3691,2259,169,56
ENSG00000165917,1,0,5,2,6,2,1,0
ENSG00000165923,6,1,3,0,1,0,2,0
ENSG00000165929,81,37,10875,9657,9646,12477,76,35
ENSG00000165934,2547,911,5927,7981,8176,7314,2788,895
ENSG00000165935,17,6,0,0,8,3,36,7
ENSG00000165943,336,118,3835,3713,4539,4175,386,130
ENSG00000165948,67,27,128,134,245,159,54,19
ENSG00000165949,24,7,163,231,339,188,17,6
ENSG00000165953,1,2,0,0,0,0,4,0
ENSG00000165959,701,254,1837,1375,1477,2150,714,209
ENSG00000165966,0,0,2,1,2,4,0,0
ENSG00000165970,0,0,0,0,0,0,0,0
ENSG00000165972,11,1,2,1,1,2,8,1
ENSG00000165973,5,0,0,0,0,0,2,0
ENSG00000165983,620,220,808,1640,1804,886,629,265
ENSG00000165985,46,22,21,35,38,18,85,31
ENSG00000165995,52,24,125,234,294,166,26,9
ENSG00000165996,294,89,51,24,45,61,320,111
ENSG00000165997,1471,521,2895,2122,2159,3248,1724,579
ENSG00000166002,102,34,843,1600,2173,973,50,24
ENSG00000166004,1356,486,2855,2835,2753,3418,1115,379
ENSG00000166006,0,0,3,1,0,1,0,0
ENSG00000166007,0,0,0,0,0,0,0,0
ENSG00000166012,1246,406,5204,8185,8921,6491,1194,390
ENSG00000166013,0,0,7,1,0,15,0,0
ENSG00000166016,295,115,674,522,651,794,301,91
ENSG00000166024,486,174,619,542,729,759,648,246
ENSG00000166025,1880,686,111,210,215,109,2057,746
ENSG00000166033,1043,359,275,145,362,349,1095,311
ENSG00000166035,1,0,1,0,0,1,1,0
ENSG00000166037,900,350,1399,1618,1511,1513,1016,321
ENSG00000166046,125,45,446,219,174,538,417,132
ENSG00000166049,0,0,0,0,6,0,0,0
ENSG00000166068,757,231,479,394,487,475,894,339
ENSG00000166069,0,0,0,2,2,2,0,0
ENSG00000166073,1000,398,461,318,387,636,1113,343
ENSG00000166086,102,30,44,108,120,78,46,30
ENSG00000166090,0,0,4,3,3,4,0,0
ENSG00000166091,1,0,0,0,0,0,0,0
ENSG00000166104,0,0,0,0,0,0,0,0
ENSG00000166105,72,25,4,2,6,4,62,17
ENSG00000166106,171,84,12,46,60,16,104,44
ENSG00000166111,0,0,1,4,4,4,0,0
ENSG00000166118,0,0,0,0,0,0,0,0
ENSG00000166123,241,93,7247,4727,6744,7446,405,128
ENSG00000166126,1,1,9,10,12,22,4,0
ENSG00000166128,932,354,1890,1617,1648,2365,1456,447
ENSG00000166130,691,276,335,367,337,363,1423,495
ENSG00000166133,124,55,218,293,438,269,57,25
ENSG00000166135,1242,475,1430,1538,2024,1803,1166,394
ENSG00000166136,121,59,92,93,144,100,153,49
ENSG00000166140,683,221,793,641,960,853,543,205
ENSG00000166143,0,0,0,2,1,1,1,0
ENSG00000166145,364,124,2642,1924,3397,3094,675,307
ENSG00000166147,66,28,258,93,89,280,55,20
ENSG00000166148,0,0,0,0,0,0,0,0
ENSG00000166152,0,0,0,0,0,0,0,0
ENSG00000166153,39,12,168,195,182,135,29,11
ENSG00000166159,0,0,3,0,6,3,0,0
ENSG00000166160,0,0,0,0,0,0,0,0
ENSG00000166164,871,289,3107,3818,4035,3517,635,251
ENSG00000166165,289,115,54607,18313,26898,56391,303,114
ENSG00000166166,262,132,242,321,561,313,128,49
ENSG00000166167,888,311,928,1094,1179,1131,954,284
ENSG00000166169,242,102,662,583,924,740,190,72
ENSG00000166170,520,195,5305,4640,4855,6142,528,189
ENSG00000166171,59,16,1416,871,1524,1532,83,27
ENSG00000166173,1175,410,535,383,735,471,1466,445
ENSG00000166181,1892,599,6368,5185,5619,7352,1951,626
ENSG00000166183,7,1,17,15,27,26,2,2
ENSG00000166188,109,40,342,331,513,365,52,24
ENSG00000166189,210,73,415,536,840,472,131,52
ENSG00000166192,77,25,149,276,310,212,58,32
ENSG00000166197,4319,1591,18638,24884,29912,21620,3545,1068
ENSG00000166199,329,107,1138,1416,1726,1303,321,90
ENSG00000166200,1784,683,5219,5908,6214,6347,2166,670
ENSG00000166206,415,138,3275,3805,4005,3896,387,146
ENSG00000166211,0,0,5,12,16,8,0,0
ENSG00000166220,72,21,4,2,3,3,34,13
ENSG00000166224,4837,1787,1233,1996,2891,1442,4544,1632
ENSG00000166225,1086,390,1402,1429,1488,1594,1370,402
ENSG00000166226,7402,2915,11505,14302,16524,14271,6582,1988
ENSG00000166228,3713,1421,5950,11168,12514,6632,2840,950
ENSG00000166233,1447,515,2876,2715,3198,3304,1544,519
ENSG00000166246,14,3,44,52,75,71,7,4
ENSG00000166250,1102,387,8,24,20,15,871,245
ENSG00000166257,187,73,5,9,6,4,212,79
ENSG00000166260,1350,508,1217,1072,1114,1443,1435,444
ENSG00000166261,158,48,1051,1044,1121,1118,86,27
ENSG00000166262,28,15,199,185,192,216,21,7
ENSG00000166263,1200,437,834,468,624,921,1237,406
ENSG00000166265,1,0,0,1,0,1,3,1
ENSG00000166266,1566,547,3249,4334,4490,3750,1606,514
ENSG00000166268,3,3,4,8,13,5,8,3
ENSG00000166272,170,65,1746,1661,2085,2099,166,64
ENSG00000166275,60,21,440,672,853,523,64,27
ENSG00000166278,12,6,46,35,37,73,3,3
ENSG00000166289,95,24,182,107,126,229,65,23
ENSG00000166292,3,1,1396,60,69,1957,12,2
