"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name","Gene.type"
"ENSG00000104419",76218.6717854089,4.52507051321511,0.0710110687339649,63.7234531727411,0,0,"NDRG1","protein_coding"
"ENSG00000146674",11618.2282450124,4.78273267040142,0.105393917421591,45.3795891395686,0,0,"IGFBP3","protein_coding"
"ENSG00000165507",3876.66450589473,4.32193118428089,0.111058311956924,38.9158731852255,0,0,"DEPP1","protein_coding"
"ENSG00000159167",5843.89708460687,3.12905188803534,0.0917977311746814,34.086374989825,1.17419842233964e-254,3.84696758119025e-251,"STC1","protein_coding"
"ENSG00000134107",8500.03072828766,2.87033863277148,0.0879767896803365,32.6260897129897,1.75000881132801e-233,4.58677309449071e-230,"BHLHE40","protein_coding"
"ENSG00000176171",5667.09438199729,2.86142297733337,0.090534146251195,31.606008294308,3.05297967505461e-219,6.66821644026511e-216,"BNIP3","protein_coding"
"ENSG00000181458",3640.14515950811,2.98295257813396,0.0993857151282405,30.0138966076258,6.46430018989976e-198,1.21020934269481e-194,"TMEM45A","protein_coding"
"ENSG00000132470",3588.20687619913,3.14495445588876,0.113584682836673,27.688191553178,9.68721933579598e-169,1.58688761744508e-165,"ITGB4","protein_coding"
"ENSG00000148926",1505.58995092875,4.97332064776196,0.180050726435568,27.6217749642997,6.09438196951508e-168,8.87409730116613e-165,"ADM","protein_coding"
"ENSG00000114268",3531.12477041615,2.86105872507911,0.106319346289448,26.9100481232272,1.67534227948232e-159,2.19553605726157e-156,"PFKFB4","protein_coding"
"ENSG00000197930",32175.7956535873,1.82090429091319,0.0710115021299418,25.642385195305,5.14140365063698e-145,6.12528134923615e-142,"ERO1A","protein_coding"
"ENSG00000104765",5146.99716633741,2.55394376001155,0.100273980381385,25.4696557401812,4.27665760344865e-143,4.67046649109955e-140,"BNIP3L","protein_coding"
"ENSG00000114023",4662.91193288827,2.36833014215198,0.0933437560350159,25.372132456975,5.12197597965693e-142,5.16334578564646e-139,"FAM162A","protein_coding"
"ENSG00000135245",1683.58559565006,3.51040971979557,0.140766471091108,24.9378256951795,2.89447531486322e-137,2.70943564294875e-134,"HILPDA","protein_coding"
"ENSG00000184368",1699.98736527127,3.04328961045747,0.125360940106446,24.27621879569,3.49622675819931e-130,3.0545367777468e-127,"MAP7D2","protein_coding"
"ENSG00000196968",3348.97053184181,2.34232363262436,0.0965550758266625,24.258938357931,5.32146361042769e-130,4.35861128841593e-127,"FUT11","protein_coding"
